word1	attr1	word2	attr2	word1 freq	word2 freq	bigram freq	score trimmed	distance	similarity	period	genre	combined	url
Aššur[1]DN	[?]	iššiakku[city-ruler]N	[?]	2246	193	364	0.553	1.242	0.684				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22i%C5%A1%C5%A1iakku%5Bcity-ruler%5DN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	Ištar[1]DN	[?]	2246	1040	504	0.329	4.127	0.707				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22I%C5%A1tar%5B1%5DDN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	Enlil[1]DN	[?]	2246	456	278	0.274	2.579	0.649				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Enlil%5B1%5DDN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	Mullissu[1]DN	[?]	2246	297	207	0.253	2.391	0.49				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Mullissu%5B1%5DDN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	ilu[god]N	[?]	2246	3545	668	0.235	3.749	0.601				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22ilu%5Bgod%5DN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	bēlu[lord]N	[?]	2246	11546	1100	0.213	2.153	0.679				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22b%C4%93lu%5Blord%5DN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	Aššur[1]DN	[?]	2246	2246	450	0.199	5.142	0.582				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	tukultu[trust]N	[?]	2246	262	151	0.196	1.278	0.684				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22tukultu%5Btrust%5DN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	Bel[1]DN	[?]	2246	578	220	0.192	2.577	0.65				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Bel%5B1%5DDN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Aššur[1]DN	[?]	Šamaš[1]DN	[?]	2246	1630	362	0.188	2.746	0.636				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%5B1%5DDN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22%C5%A0ama%C5%A1%5B1%5DDN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
