Id,Label
1,Lamaštu[1]DN
2,Ušumgallu[dragon]DN
3,abru[strong-one]N
4,ahurrû[junior]N
5,ariru[(a-priest-uttering-curses)]N
6,assinnu[(male-cultic-prostitute)]N
7,asû[physician]N
8,baʾāšu[smell-bad]V
9,biṣṣūru[female-genitals]N
10,bâru_1[revolt]V
11,bâru_2[catch]V
12,bāʾeru[hunter]N
13,būnu[goodness]N
14,dannūtu[strength]N
15,duppussû[younger-brother]N
16,dādu[darling]N
17,edû_V[know]V
18,ekēpu[come-close]V
19,ellu_N[pure-one]N
20,elēlu[be(come)-pure]V
21,elēpu[sprout]V
22,emu[father-in-law]N
23,emēqu[be(come)-wise]V
24,enu[lord]N
25,enû[change]V
26,enšu_AJ[weak]AJ
27,ešû_AJ[confused]AJ
28,gašrūtu[great-strength]N
29,gašāru[be(come)-strong]V
30,gaṣṣu[cruel]AJ
31,gišparru[trap]N
32,gupāru[neck]N
33,gāmiru_AJ[strong]AJ
34,hallulāya[centipede]N
35,harmu[(male)-lover]N
36,hassu[clever]AJ
37,hatû_2[(meaning-unclear)]V
38,hatāpu[slaughter]V
39,haštu[hole]N
40,hissatu[understanding]N
41,igigallūtu[wisdom]N
42,išaru_N[penis]N
43,išku[testicle]N
44,iṣṣurtu[female-bird]N
45,iṣṣūriš[like-a-bird]AV
46,kabāsu[tread]V
47,kakugallūtu[profession-of-incantation-priest]N
48,kamāru_2[defeat]N
49,katû[weak]AJ
50,kiništu[priesthood]N
51,kitru[help]N
52,kudurru[carrying-frame]N
53,kuluʾu[(male-cultic-prostitute)]N
54,kuzbu[attractivess]N
55,kāribu[one-who-blesses]N
56,kīniš[reliably]AV
57,kūru[depression]N
58,labbu[angry]AJ
59,labāru[be(come)-old]V
60,labāṣu[(a-disease-demon)]N
61,lakû_AJ[weak]AJ
62,lalûtu[vigour]N
63,lapānu[be(come)-poor]V
64,lemnu_N[evil-one]N
65,lemēnu[be(come)-bad]V
66,libbātu[rage]N
67,līʾu[bull]N
68,magāgu[spread]V
69,massû[leader]N
70,mazāʾu[press]V
71,mithuṣūtu[battle]N
72,mugerru[two-wheeled-vehicle]N
73,muhhuru[offering]N
74,mulmullu[arrow]N
75,muqqu[weakened]AJ
76,muškēnūtu[poverty]AJ
77,māhiru[opponent]N
78,mārūtu[status-of-son]N
79,mētellu[lordship]N
80,mūdânūtu[knowledge]N
81,mūru[young-animal]N
82,nahātu[be(come)-small]V
83,nakbatu[weight]N
84,nakāpu[push]V
85,nakāru_N[enemy]N
86,nalbubu[furious]AJ
87,narʾamtu[javelin]N
88,naʾāru[roar]V
89,neʾrāru[aid]N
90,nindabû[(food)-offering]N
91,nêru_N[killer]N
92,palhu[fearful]AJ
93,pardu[afraid]AJ
94,paršumu[outlive]V
95,patānu[become-strong]V
96,perniqqu[(a-mythical-weapon)]N
97,puggulu[very-strong]AJ
98,pulhu[terror]N
99,puršumu[old-(man)]N
100,pāšu[axe]N
101,qadādu[bow-down]V
102,qalālu[be(come)-light]V
103,qardūtu[heroism]N
104,qarrādūtu[heroism]N
105,qarābu[battle]N
106,qarādu[be(come)-warlike]V
107,qerēbu[be(come)-close]V
108,rabābu[be(come)-weak]V
109,raggu_AJ[wicked]AJ
110,raṣmu[powerful]AJ
111,raṣānu[be-powerful-(of-voice)]V
112,ruʾubtu[rage]N
113,rêṣu[help]V
114,rīṣu[help]N
115,sadirtu[battle-line]N
116,sapāqu[be(come)-sufficient]V
117,sarruru[pray-to]V
118,sasinnu[bowyer]N
119,sattukku[regular-delivery]N
120,sidirtu[row]N
121,sâdu[smite]V
122,sūnu[loin]N
123,tahanātu[help]N
124,tamhāru[battle]N
125,taqribtu[(a-ritual)]N
126,taqrubtu[battle]N
127,tardennu[second(ary)]AJ
128,targīgu[evildoer]N
129,tašnintu[battle]N
130,tiklu[help]N
131,tubāqu[trap]N
132,tulû[breast]N
133,tēšû[confusion]N
134,ugallu[storm-demon]N
135,ummiānu[expert]N
136,ummânūtu[craftmanship]N
137,urû[team-of-equids]N
138,usandû[bird-catcher]N
139,uzzu[anger]N
140,zayyāru[foe]N
141,zāmânû[hostile-one]N
142,zēʾirānu[enemy]N
143,zību_2[jackal]N
144,šabbasû[very-angry]AJ
145,šaggāšu[murderer]N
146,šahāṭu_3[be(come)-angry]V
147,šalāmu_N[peace]N
148,šalāṭu[rule]V
149,šalṭu_AJ[authoritative]AJ
150,šalṭu_N[bow-case]N
151,šamāru_1[gloat?]V
152,šamāru_2[rage]V
153,šanūdu[illustrious]AJ
154,šapṣu_N[recalcitrant-one]N
155,šašmu[(single)-combat]N
156,šehṭu_AJ[jumping]AJ
157,šibsātu[anger]N
158,šitmuriš[wildly]AV
159,šukudu[arrow]N
160,šuribatu[terror?]N
161,šuttatu[(hunter's)-pitfall]N
162,šuškallu[battle-net]N
163,ṣabtu_N[captive]N
164,ṣalālu[lie-(down)]V
165,ṣayyādu[vagrant]N
166,ṣehheru[tiny]AJ
167,ṣehru_2[(time-of)-youth]N
168,ṣuhāru[boy]N
169,ṣāltu[combat]N
170,ṭēmānu_AJ[wise]AJ
171,Mullissu[1]DN
172,ebūru[summer]N
173,napāhu[blow]V
174,Nusku[1]DN
175,Šarrat-Kidmuri[1]DN
176,awû[speak]V
177,šēlabiš[like-a-fox]AV
178,wēdiššī-[he/you-(etc.)-alone]AV
179,marqītu[refuge]N
180,šalšāya[third-brother]N
181,mērênu[nakedness]N
182,nabalkattānu[insurgent]N
183,etelliš[as-a-lord]AV
184,kabbaru[very-thick]AJ
185,nakāru_V[be(come)-different]V
186,mehretu[opposite-side]N
187,rēmu[womb]N
188,nisiqtu[selection]N
189,kapādu[plan]V
190,râbu[tremble]V
191,qinnu[nest]N
192,zāratu[tent]N
193,zumru[body]N
194,banû[good]AJ
195,nasīku[sheikh]N
196,tēliltu[(ritual)-cleansing]N
197,mīsu[washing]N
198,rimku[wash-water]N
199,hamru[holy-place-(of-Adad-Assur)]N
200,murtâmu[ones-who-love-each-other]N
201,gīru[fire(-god)]N
202,ebirna[(meaning-unknown)]N
203,nappāhu[smith]N
204,kutīmu[goldsmith]N
205,šeleppāyu[(a-type-of-craftsman)]N
206,ṣurārû[lizard]N
207,niāru[papyrus]N
208,pagû[ape]N
209,ayyalu[ally]N
210,šūpû[made-apparent]AJ
211,munêru[one-who-strikes]N
212,nābiʾu[plunderer]N
213,handūru[spur?]N
214,hābilu_1[criminal]N
215,batūlu[boy]N
216,argamannu[purple]N
217,batultu[adolescent]N
218,maqlūtu[burn(ing)]N
219,qilûtu[burning]N
220,gupnu[tree(-trunk)]N
221,eʾēlu[bind-(on)]V
222,muqtablu[fighter]N
223,ušmannu[(military)-camp]N
224,išātu[fire]N
225,nipšu[breathing]N
226,šār[3600]NU
227,kaṣû[cold]N
228,nādu[(water-)skin]N
229,anīhu[tired]AJ
230,dahru[angry]AJ
231,mānahtu[weariness]N
232,šahāṭu_2[jump-(on)]V
233,šeršerratu[chain]N
234,rukkusu[well-fitted-together]AJ
235,qullu[(a-large-ring)]N
236,atānu[she-ass]N
237,ṣurru[obsidian]N
238,gašru[strong-one]N
239,Niššiku[1]DN
240,kasūsu[(hunting)-falcon]N
241,šangûtu[priesthood]N
242,râmu[love]V
243,Nergal[1]DN
244,kabtu[heavy]AJ
245,šaplu[low(er)]AJ
246,simānu[(right)-occasion]N
247,serhu[debris]N
248,kašāru[restore]V
249,supû[prayer]N
250,līmu[thousand]NU
251,šerʾānu[vein]N
252,bitrumu[very-colourful]AJ
253,takdīru[(meaning-unknown)]N
254,būru[(bull)-calf]N
255,ṣimdu[binding]N
256,bunnû[beautified]AJ
257,mazzaztu[position]N
258,patqu[built]AJ
259,šutātû[positioned-opposite-one-another]AJ
260,Ninagal[1]DN
261,muštaʾʾûtu[leisure]N
262,petû[open]AJ
263,nawru[bright]AJ
264,kaškaššu_AJ[all-powerful]AJ
265,tanittu[(hymn-of)-praise]N
266,gašru_AJ[very-strong]AJ
267,apû[be(come)-visible]V
268,Ereškigal[1]DN
269,šitarhu[very-proud-one]N
270,",ēkallu[palace]N"
271,šuqallulu[hanging-(down)]AJ
272,tarlugallu[rooster]N
273,raksu[tied-one]N
274,urpatu[cloud]N
275,gapāšu[rise-up]V
276,šipṣu[obstinacy]N
277,bašāmu[allocate]V
278,birtūtu[function-as-fort]N
279,tillatu[auxiliaries]N
280,bitrû[be(come)-continuous]V
281,naparkû[cease]V
282,dumqu[goodness]N
283,naparkû[ceasing]AJ
284,laʾû[small-child]N
285,eriyātu[cold-weather]N
286,abāru[(a-kind-of-clamp)]N
287,zīqīqu[wind]N
288,malmališ[correspondingly]AV
289,sehû[rise-up]V
290,dīktu[fighting]N
291,habātu[rob]V
292,tidūku[battle]N
293,zahalû[silver-alloy]N
294,ešmarû[(a-silver-alloy)]N
295,bīnu[son]N
296,kupatinnu[globule]N
297,patāqu[make-brick-structures]V
298,Nuru[1]DN
299,qiššû[cucumber]N
300,gapšu[arisen]AJ
301,ahannâ[on-this-bank]AV
302,šāninu[rival]N
303,mēlulu[play]V
304,šīqu[watering]N
305,pašāṭu[erase]V
306,rāhiṣu[destroyer]N
307,mupparšu[flying-one]N
308,tīku[dripping]N
309,turruṣu[(meaning-uncertain)]AJ
310,mušaršidu[one-who-makes-secure]N
311,erbu[(sun)set]N
312,pattūtu[open-chariot]N
313,maštaku[chamber]N
314,utūnu[kiln]N
315,kurunnu[(a-kind-of-beer)]N
316,sirqu[offering-(of-aromatics-of-foodstuffs)]N
317,ginâ[constantly]AV
318,ahû[outsider]N
319,Kubu[foetus]DN
320,sarāqu[strew]V
321,ezēbu[leave]V
322,nābališ[on-dry-land]AV
323,nakāsu[cut]V
324,rēšu[head]N
325,tibku[course-of-bricks]N
326,maštakal[(an-alkaline-plant)]N
327,šarpu[burning]N
328,hadûtu[joy]N
329,emdu[(an-aromatic-tree)]N
330,marru[shovel]N
331,itpēšu_N[expert]N
332,qabû[speech]N
333,muttabbilu[servant]N
334,šupêlu[exchange]V
335,kūnu[firmness]N
336,šupku[foundation]N
337,kisû[footing]N
338,rabbû[large]AJ
339,galālu[roll]V
340,mašāhu[measure]V
341,mītu[dead]AJ
342,enēšu[be(come)-weak]V
343,diānu[judge]V
344,akû[cripple]N
345,ezēzu[be(come)-angry]V
346,magāru[consent]V
347,pitqudu[prudent]AJ
348,Belet-ili[1]DN
